issue,title,validator comment,grade,root cause (URL),size
findings-85,"executeSellCreditMarket() when creditPositionId == RESERVED_ID , Incorrect calculation of fees","QA at most, fees",Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L249,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L256",114
findings-86,"executeSellCreditMarket() when creditPositionId != RESERVED_ID , Incorrect calculation of fees","QA at most, fees",Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L249,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L256",129
findings-87,compensate() may increase the risk of lender,,Unsatisfactory,,96
findings-88,withdraw() users may can't withdraw underlyingBorrowToken properly,,Unsatisfactory,,65
findings-90,The `szaUSDC` token and `USDC` token do not have a strict 1:1 conversion ratio,,Unsatisfactory,,92
findings-91,`multicall()` doesn't correctly enforce `borrowATokenCap`,totalsupply?,Unsatisfactory,,100
findings-92,`amount` validations are incorrect for some `exactAmountIn` cases,incorrect restriction,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/BuyCreditMarket.sol#L91-L93,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/SellCreditMarket.sol#L93-L95",73
findings-94,Validations aren't sufficient to prevent reorg issues,,Unsatisfactory,,37
findings-95,Unhealthy borrowers can recover all collateral and avoid liquidation penalty via `Size::compensate`,,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L31-L101,227
findings-96,"Using multicall functionality, one can bypass the deposit cap even without reducing debt",totalsupply?,Unsatisfactory,,95
findings-97,Wrong comparison of token values causes liquidator profit to be negligible,units,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Liquidate.sol#L96-L99,95
findings-98,"Miscalculation of remaining collateral, protocol cut when liquidating overdue loans is too high",,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Liquidate.sol#L105-L108,143
findings-99,The borrowers cannot withdraw the borrowed USDC because there is no upper limit on the borrowing amount,,Unsatisfactory,,86
